lease_bf_plaza_clean.plazaid,lease_bf_plaza_clean.companyid,lease_bf_plaza_clean.plazacode,lease_bf_plaza_clean.plazaname,lease_bf_plaza_clean.shortname,lease_bf_plaza_clean.operationcenterid,lease_bf_plaza_clean.operationcenter,lease_bf_plaza_clean.regionalcompanyid,lease_bf_plaza_clean.regionalcompany,lease_bf_plaza_clean.plazatype,lease_bf_plaza_clean.opendate,lease_bf_plaza_clean.provinceid,lease_bf_plaza_clean.cityid,lease_bf_plaza_clean.countyid,lease_bf_plaza_clean.plazaadress,lease_bf_plaza_clean.ownercompanyid,lease_bf_plaza_clean.businesscompanyid,lease_bf_plaza_clean.propertycompanyid,lease_bf_plaza_clean.plazalevel,lease_bf_plaza_clean.plazaclass,lease_bf_plaza_clean.assettype,lease_bf_plaza_clean.classification,lease_bf_plaza_clean.areaofbuildingtotal,lease_bf_plaza_clean.businessareaofbuilding,lease_bf_plaza_clean.areaofsupporting,lease_bf_plaza_clean.floorovergroundcount,lease_bf_plaza_clean.floorundergroundcount,lease_bf_plaza_clean.parkcount,lease_bf_plaza_clean.mapscalelocationx,lease_bf_plaza_clean.mapscalelocationy,lease_bf_plaza_clean.innerpedestrianarea,lease_bf_plaza_clean.mainarea,lease_bf_plaza_clean.secmainarea,lease_bf_plaza_clean.outdoorarea,lease_bf_plaza_clean.firstmainarea,lease_bf_plaza_clean.firstsecmainarea,lease_bf_plaza_clean.firstotherarea,lease_bf_plaza_clean.firstoutdoorarea,lease_bf_plaza_clean.firstofficebuildingarea,lease_bf_plaza_clean.firstbarstreetarea,lease_bf_plaza_clean.isvalid,lease_bf_plaza_clean.recordstatus,lease_bf_plaza_clean.createuserid,lease_bf_plaza_clean.createdate,lease_bf_plaza_clean.modifyuserid,lease_bf_plaza_clean.modifydate,lease_bf_plaza_clean.fromtable,lease_bf_plaza_clean.fromrecordid,lease_bf_plaza_clean.firstmaininnerarea,lease_bf_plaza_clean.firstmainrentarea,lease_bf_plaza_clean.firstsecmaininnerarea,lease_bf_plaza_clean.firstsecmainrentarea,lease_bf_plaza_clean.firstotherinnerarea,lease_bf_plaza_clean.firstotherrentrentarea,lease_bf_plaza_clean.firstoutdoorinnerarea,lease_bf_plaza_clean.firstoutdoorrentarea,lease_bf_plaza_clean.firstofficebuildinginnerarea,lease_bf_plaza_clean.firstofficebuildingrentarea,lease_bf_plaza_clean.firstbarstreetrentarea,lease_bf_plaza_clean.firstbarstreetinnerarea,lease_bf_plaza_clean.assetareaamt,lease_bf_plaza_clean.upareaofbuilding,lease_bf_plaza_clean.downareaofbuilding,lease_bf_plaza_clean.adscount,lease_bf_plaza_clean.datafrominfo,lease_bf_plaza_clean.frominfo,lease_bf_plaza_clean.workflowstatus,lease_bf_plaza_clean.plazaposition
1001132,5451,XZTS,徐州铜山万达广场,徐州铜山,5490,华东运营中心,4381,南京区域商管公司,BUSINESSCENTER,2016-10-28 00:00:00.0,19,211,,,3070,3161,3161,3A,3A,DEVELOPMENT,B类,150490,89746.55,60743.45,5,1,1024,89746.55,66264.72,,,,,41900,0,46281.62,397.92,,,,ACTIVE,1,2015-10-26 15:06:28.891581,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001132,,,,,,,,,,,,,,140309.6,10180.4,44,租赁系统,,APPROVED,区域-家庭-购物中心
1001133,5430,FSSS,佛山三水万达广场,佛山三水,5396,华南运营中心,4634,广州区域商管公司,BUSINESSCENTER,2016-11-18 00:00:00.0,18,102,,,3429,3309,3309,2C,2C,DIRECTINVESTMENT,D类,130017.49,88715.32,41302.17,5,0,860,88715.32,64219.1,,,,,28400,0,60239.42,0,,,,ACTIVE,1,2015-10-26 15:07:00.279385,1,2018-06-04 23:14:58.0,BF_PLAZA,1001133,0,27400,0,0,35420.74,35420.74,0,0,,,,,,130017.49,0,122,,,APPROVED,
1001134,5442,ZZHJ,郑州惠济万达广场,郑州惠济,5618,华中运营中心,5319,郑州区域商管公司,BUSINESSCENTER,2016-11-18 00:00:00.0,23,155,,,3263,3359,3359,2B,2B,DIRECTINVESTMENT,C类,190061.45,133361.16,56700.29,5,0,1074,133361.16,89703.44,,,,,38200,0,51575.31,0,,,,ACTIVE,1,2015-10-26 15:07:30.263161,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001134,,,,,,,,,,,,,,190061.45,0,89,租赁系统,,APPROVED,区域-全客层-购物中心
1001135,5450,LYG,连云港万达广场,江苏连云港,5490,华东运营中心,4381,南京区域商管公司,BUSINESSCENTER,2016-11-18 00:00:00.0,19,210,,,3267,3374,3374,3B,3B,DIRECTINVESTMENT,D类,117902.14,108624.96,9277.18,5,0,1000,108624.96,77529.11,,,,,34600,0,43390.11,0,,,,ACTIVE,1,2015-10-26 15:07:47.985102,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001135,,,,,,,,,,,,,,117902.14,0,77,租赁系统,,APPROVED,区域-时尚-购物中心
1001136,5457,YK*YQ,营口鲅鱼圈万达广场,营口鲅鱼圈,5502,东北运营中心,4336,沈阳区域商管公司,BUSINESSCENTER,2016-11-19 00:00:00.0,24,237,,,3301,3375,3375,3B,3B,DIRECTINVESTMENT,D类,97400.25,88145.65,9254.6,5,0,725,87956.41,65397.25,,,,,29500,0,34915.95,0,,,,ACTIVE,1,2015-10-26 15:08:20.854934,49797,2018-06-04 23:14:58.0,BF_PLAZA,1001136,0,28600,0,0,34915.95,34915.95,0,0,,,,,,97400.25,0,18,,,APPROVED,
1001137,5458,SR,上饶万达广场,江西上饶,5395,中南运营中心,5321,南昌区域商管公司,BUSINESSCENTER,2016-11-25 00:00:00.0,33,224,,,3008,3142,3142,3A,3A,DEVELOPMENT,B类,175000,91128.68,83871.32,5,1,1619,91128.68,66796.95,,,,,39200,0,26325.86,0,,,,ACTIVE,1,2015-10-26 15:08:42.757755,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001137,,,,,,,,,,,,,,165058.35,9941.65,44,租赁系统,,APPROVED,城市-全客层-购物中心
1001138,5453,SXSY,绍兴上虞万达广场,绍兴上虞,5563,东南运营中心,5516,杭州区域商管公司,BUSINESSCENTER,2016-11-25 00:00:00.0,17,368,,,3284,3200,3200,3A,3A,DIRECTINVESTMENT,D类,122732,87912.22,34819.78,5,0,901,88049.98,62647.27,,,,,26900,0,36218.1,0,,,,ACTIVE,1,2015-10-26 15:09:03.100547,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001138,,,,,,,,,,,,,,122732,0,78,租赁系统,,APPROVED,区域/社区-家庭-生活中心
1001139,5449,LY,辽阳万达广场,辽宁辽阳,5502,东北运营中心,4336,沈阳区域商管公司,BUSINESSCENTER,2017-07-28 00:00:00.0,24,234,,,3444,3405,3405,3B,3B,DIRECTINVESTMENT,D类,129706.86,97902.13,31804.73,5,0,719,,,,,,,29500,0,69431.54,0,,,,ACTIVE,1,2015-10-26 15:09:25.64298,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001139,0,28500,0,0,41679.74,41679.74,0,0,,,,,,129706.86,0,82,,,APPROVED,
1001140,5485,CY,朝阳万达广场,辽宁朝阳,5502,东北运营中心,4336,沈阳区域商管公司,BUSINESSCENTER,2016-11-26 00:00:00.0,24,241,,,3445,3376,3376,3B,3B,DIRECTINVESTMENT,D类,97348.56,88493.23,8855.33,5,0,651,88156.71,62684.28,,,,,26300,0,62390.98,0,,,,ACTIVE,1,2015-10-26 15:09:46.718985,1,2018-06-04 23:14:58.0,BF_PLAZA,1001140,0,25300,0,0,36642.23,36642.23,0,0,,,,,,97348.56,0,79,,,APPROVED,
1001141,5459,SZ,宿州万达广场,安徽宿州,5395,中南运营中心,4655,合肥区域商管公司,BUSINESSCENTER,2016-12-02 00:00:00.0,28,50,,,3028,3194,3194,3A,3A,DEVELOPMENT,D类,154800,89003.42,65796.58,5,1,1394,89003.42,61734.54,,,,,28600,0,30105.21,2172.53,,,,ACTIVE,1,2015-10-26 15:10:07.404983,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001141,,,,,,,,,,,,,,144735.47,10064.53,105,租赁系统,,APPROVED,城市-家庭-购物中心
