entactmgt_tpm_project_clean.projectid,entactmgt_tpm_project_clean.orgid,entactmgt_tpm_project_clean.projectname,entactmgt_tpm_project_clean.jddate,entactmgt_tpm_project_clean.picpath,entactmgt_tpm_project_clean.deleteflag,entactmgt_tpm_project_clean.status,entactmgt_tpm_project_clean.partitionid,entactmgt_tpm_project_clean.creator,entactmgt_tpm_project_clean.createtime,entactmgt_tpm_project_clean.modifieduser,entactmgt_tpm_project_clean.modifiedtime,entactmgt_tpm_project_clean.isbudget,entactmgt_tpm_project_clean.plazaid,entactmgt_tpm_project_clean.plazacode,entactmgt_tpm_project_clean.plazatypeid,entactmgt_tpm_project_clean.isopen,entactmgt_tpm_project_clean.opendate,entactmgt_tpm_project_clean.projecttype,entactmgt_tpm_project_clean.isbugetcontrol,entactmgt_tpm_project_clean.ispopularizetransfer,entactmgt_tpm_project_clean.projectcompanyid,entactmgt_tpm_project_clean.plazaassettypeid,entactmgt_tpm_project_clean.citylevelid
F844C7E2-8A12-4327-A064-4FBF1C708F5B,,北京怀柔万达广场,,,false,1,,,,,,true,1001724,BJHR,4,true,2018-01-01 00:00:00.0,0,true,false,,1,1
57FD6A4A-C153-4ABE-A065-528F8A8AB31F,,洛阳万达广场,,,false,1,,,,,,true,1000300,LY,1,true,2009-12-22 00:00:00.0,1,true,true,4A05A20C-6AA9-4F30-BBDE-9C7F82DB0BA8,1,3
0CF6F459-E81E-46B9-97E7-5415CDD53D99,,海口秀英万达广场,,,false,1,,,,,,true,1001148,HKXY,3,true,2016-12-23 00:00:00.0,0,true,true,FE0CF8BF-9DD6-4A04-A609-A88F8264A182,1,3
548B29AC-3A00-4D38-8D95-5454F5CD72CA,,常州新北万达广场,,,false,1,,,,,,true,1000285,CZXB,1,true,2011-12-10 00:00:00.0,1,true,true,039162A6-1CBF-4D4F-80D3-1D2BAC5FFF2E,1,3
BDFB93BB-FDF7-43FA-A237-5469D579B7D4,,阜阳颍泉万达广场,,,false,1,,,,,,true,1001150,FY*Q,4,true,2017-06-16 00:00:00.0,0,true,true,046146FB-4615-48C4-BE65-70454922A65B,1,3
075BCB73-C206-41ED-ABE0-56373C6C5E0B,,哈尔滨香坊万达广场,,,false,1,,,,,,true,1000297,HEBXF,1,true,2007-10-25 00:00:00.0,1,true,true,781E4F27-4517-4699-B300-7D648969A3E0,1,2
BBD5DE1B-84BB-46AE-92E8-568832185B8E,,无锡江阴万达广场,,,false,1,,,,,,true,1000386,WXJY,4,true,2012-09-22 00:00:00.0,1,true,true,BCD0ABB7-0682-4C86-B22E-97CBF5C2A464,1,3
B189C2C9-8D92-4FF7-A286-568F1CD2B2C9,,鄂尔多斯万达广场,,,false,1,,,,,,true,1001820,EEDS,4,true,2019-08-30 00:00:00.0,,true,false,,1,
456DD286-5C09-4DAD-8853-56F912510BD9,,玉溪万达广场,,,false,1,,,,,,true,1001844,YX,4,true,2019-12-27 00:00:00.0,,true,false,,1,
A653F26D-0C0C-4F67-9C7A-57998A511868,,常熟万达广场,,,false,1,,,,,,true,1001605,CS,3,true,2017-07-22 00:00:00.0,0,true,true,AFB33372-19DC-4155-982F-3C054F691AAD,1,3
7C654D62-17E6-407E-90DC-58DF577F615D,,青岛台东路万达广场,,,false,1,,,,,,true,1001066,QDTDL,1,true,2003-09-25 00:00:00.0,0,false,false,,1,2
29549A70-6C98-453E-B052-592F297DA22B,,阜新万达广场,,,false,1,,,,,,true,1001811,FX,3,true,2018-08-10 00:00:00.0,,true,false,,1,3
