passenger_dimplaza.plazakey,passenger_dimplaza.plazainfoid,passenger_dimplaza.branchid,passenger_dimplaza.plazaid,passenger_dimplaza.plazaname,passenger_dimplaza.zonecode,passenger_dimplaza.zonename,passenger_dimplaza.busiarea,passenger_dimplaza.buildarea,passenger_dimplaza.rentarea,passenger_dimplaza.primarystorerentarea,passenger_dimplaza.normalstorerentarea,passenger_dimplaza.parkingcount,passenger_dimplaza.cityname,passenger_dimplaza.citylevel,passenger_dimplaza.districttype,passenger_dimplaza.owner,passenger_dimplaza.address,passenger_dimplaza.deleteddate,passenger_dimplaza.opendate,passenger_dimplaza.plazacentury,passenger_dimplaza.plazarate,passenger_dimplaza.managedarea,passenger_dimplaza.plazatype,passenger_dimplaza.businessdate,passenger_dimplaza.totalbuildingarea,passenger_dimplaza.businessbuildingarea,passenger_dimplaza.ysid,passenger_dimplaza.vicestorearea,passenger_dimplaza.indexcode
68,68,68,68,泉州浦西,QY15,厦门,120358.87,,100055.00,76365.00,23690.00,0,泉州,1499,,东南,,1900-01-01 00:00:00.0,2012-09-29 00:00:00.0,,,5563,1,,128202.26,99622.34,1000391,0.00,68
69,69,69,69,郑州二七,QY18,郑州,112272.06,,93855.00,73087.00,20768.00,0,郑州,1498,,华中,,1900-01-01 00:00:00.0,2012-10-13 00:00:00.0,,,5618,1,,112272.06,91973.58,1000388,0.00,69
70,70,70,70,漳州碧湖,QY15,厦门,114735.49,,96321.00,75759.00,20562.00,0,漳州,1501,,东南,,1900-01-01 00:00:00.0,2012-10-26 00:00:00.0,,,5563,1,,114735.49,92439.76,1000397,0.00,70
71,71,71,71,温州龙湾,QY12,宁波,151595.44,,117761.00,76716.00,41045.00,0,温州,1499,,东南,,1900-01-01 00:00:00.0,2012-11-30 00:00:00.0,,,5563,1,,158818.42,115351.71,1000385,0.00,71
72,72,72,72,江苏太仓,SG08,无锡,111940.38,,87572.00,60114.00,27458.00,0,太仓,1501,,华东,,1900-01-01 00:00:00.0,2012-12-07 00:00:00.0,,,5490,1,,111940.38,85987.98,1000395,0.00,72
73,73,73,73,福建莆田,QY14,福州,113815.34,,93371.00,70615.00,22756.00,0,莆田,1501,,东南,,1900-01-01 00:00:00.0,2012-12-15 00:00:00.0,,,5563,1,,121300.60,89002.12,1000393,0.00,73
74,74,74,74,绵阳涪城,QY13,成都,112185.40,,92462.00,69865.00,22597.00,0,绵阳,1499,,西南,,1900-01-01 00:00:00.0,2012-12-21 00:00:00.0,,,5397,1,,112185.40,91111.90,1000394,0.00,74
75,75,75,75,成都金牛,QY13,成都,145966.75,,115528.00,79634.00,35894.00,0,成都,1498,,西南,,1900-01-01 00:00:00.0,2012-12-22 00:00:00.0,,,5397,1,,150414.45,116407.03,1000383,0.00,75
165,136,129,AY,河南安阳,QY18,郑州,90532.82,,66391.00,43319.00,23072.00,0,安阳,1501,,华中,,1900-01-01 00:00:00.0,2015-07-25 00:00:00.0,,,5618,1,,91248.30,64901.95,1000907,0.00,AY
118,91,91,BB,安徽蚌埠,SG14,合肥,107760.31,,84101.00,57309.00,26792.00,0,蚌埠,1501,,中南,,1900-01-01 00:00:00.0,2013-11-29 00:00:00.0,,,5395,1,,107760.31,83084.56,1000623,0.00,BB
275,220,213,BH1364,广西北海,QY46,南宁,98344.88,,67944.00,30469.00,37475.00,,北海,1501,,华南,,1900-01-01 00:00:00.0,2017-05-27 00:00:00.0,,,5396,0,,98344.88,67944.56,1001364,0.00,
217,188,181,BJ1145,北京丰台科技园,QY09,北京,109672.21,,74081.00,35298.00,38783.00,0,北京,1497,,华北,,1900-01-01 00:00:00.0,2016-12-22 00:00:00.0,,,5503,1,,109746.15,74046.78,1001145,0.00,BJFT
230,201,194,BJ1146,北京槐房,QY09,北京,118714.17,,79609.00,32615.00,46994.00,0,北京,1497,,华北,,1900-01-01 00:00:00.0,2016-12-22 00:00:00.0,,,5503,1,,118714.17,79609.22,1001146,0.00,BJHF
317,262,255,BJ1644,北京丰台西铁营,QY09,北京,66486.69,,43983.00,23436.00,20547.00,,北京,1497,,华北,,1900-01-01 00:00:00.0,2017-12-22 00:00:00.0,,,5503,0,,66486.69,43023.63,1001644,0.00,
328,273,266,BJ1724,北京怀柔,QY09,北京,57739.58,,38154.00,19065.00,19089.00,,北京,1497,,华北,,1900-01-01 00:00:00.0,2018-01-01 00:00:00.0,,,5503,0,,57739.58,37598.61,1001724,0.00,
187,158,151,BJCBD,北京CBD,QY09,北京,71636.28,,71636.00,71636.00,0.00,,北京,1497,,华北,,2018-01-09 11:23:04.98,2006-12-28 00:00:00.0,,,5503,0,,71636.28,69390.20,1001067,0.00,BJCBD
144,117,117,BJTZ,北京通州,QY09,北京,117213.57,,90248.00,63159.00,27089.00,0,北京,1497,,华北,,1900-01-01 00:00:00.0,2014-11-29 00:00:00.0,,,5503,1,,117213.57,89527.03,1000772,0.00,BJTZ
338,283,276,BT1810,包头九原,QY32,呼和浩特,88905.03,,63473.00,28959.00,34514.00,,包头,1499,,西北,,2018-08-18 00:00:00.0,2018-08-17 00:00:00.0,,,5565,0,,88905.03,62547.36,1001810,0.00,
356,301,294,BX1828,辽宁本溪,QY05,沈阳,,,50120.00,21800.00,28320.00,,本溪,1501,,东北,,2018-12-22 00:00:00.0,2018-12-21 00:00:00.0,,,5502,0,,,,1001828,0.00,
202,173,166,BZ1117,安徽亳州,SG14,合肥,87665.16,,64208.00,42490.00,21718.00,0,亳州,1501,,中南,,1900-01-01 00:00:00.0,2016-08-12 00:00:00.0,,,5395,1,,87819.80,63311.09,1001117,0.00,BZ
236,207,200,BZ1152,山东滨州,QY02,济南,88600.65,,63346.00,26375.00,36971.00,0,滨州,1501,,华北,,1900-01-01 00:00:00.0,2016-12-30 00:00:00.0,,,5503,1,,88600.65,63346.01,1001152,0.00,BZ
294,239,232,CC1606,长春车城,QY01,长春,88487.42,,65751.00,32342.00,33409.00,,长春,1498,,东北,,1900-01-01 00:00:00.0,2017-09-08 00:00:00.0,,,5502,0,,88487.42,64111.04,1001606,0.00,
185,156,149,CCCQL,长春重庆路,QY01,长春,35505.91,,36346.00,36346.00,0.00,,长春,1498,,东北,,2018-01-09 11:40:23.527,2003-01-16 00:00:00.0,,,5502,0,,36319.92,35505.91,1001065,0.00,CCCQL
105,78,78,CCKC,长春宽城,QY01,长春,108809.72,,73862.00,39138.00,34724.00,0,长春,1498,,东北,,1900-01-01 00:00:00.0,2013-08-16 00:00:00.0,,,5502,1,,108809.72,72403.36,1000463,0.00,CCKC
188,159,152,CD1084,成都蜀都,QY13,成都,107193.30,,78640.00,52685.00,25955.00,0,成都,1498,,西南,,1900-01-01 00:00:00.0,2016-04-29 00:00:00.0,,,5397,1,,107509.00,77422.04,1001084,0.00,CDSD
215,186,179,CD1124,湖南常德,QY23,长沙,88681.41,,65102.00,30109.00,34993.00,0,常德,1499,,中南,,1900-01-01 00:00:00.0,2016-09-16 00:00:00.0,,,5395,1,,88681.41,64218.23,1001124,0.00,CD
216,187,180,CD1142,成都青羊,QY13,成都,91051.01,,67438.00,39055.00,28383.00,0,成都,1498,,西南,,1900-01-01 00:00:00.0,2016-12-10 00:00:00.0,,,5397,1,,92117.59,67437.67,1001142,0.00,CDQY
229,200,193,CD1144,成都双流,QY13,成都,116183.72,,86044.00,42088.00,43956.00,0,成都,1498,,西南,,1900-01-01 00:00:00.0,2016-12-17 00:00:00.0,,,5397,1,,116183.72,86575.53,1001144,0.00,CDSL
378,323,316,CD1324,成都区域商管公司,-103,直属店(西南),,,,,,,,,,西南,,2018-10-31 00:00:00.0,2018-10-31 00:00:00.0,,,5397,0,,,,1001324,0.00,
379,324,316,CD1324,成都区域商管公司,,,,,,,,,,,,西南,,2018-10-31 00:00:00.0,2018-10-31 00:00:00.0,,,5397,0,,,,1001324,0.00,
297,242,235,CD1624,成都崇州,QY13,成都,86347.34,,58480.00,25830.00,32650.00,,成都,1498,,西南,,1900-01-01 00:00:00.0,2017-09-01 00:00:00.0,,,5397,0,,86347.34,57587.93,1001624,0.00,
311,256,249,CD1638,成都金堂,QY13,成都,88312.26,,59150.00,27041.00,32109.00,,成都,1498,,西南,,1900-01-01 00:00:00.0,2017-12-08 00:00:00.0,,,5397,0,,88312.26,58932.13,1001638,0.00,
318,263,256,CD1645,成都武侯,QY13,成都,105232.58,,68893.00,39834.00,29059.00,,成都,1498,,西南,,1900-01-01 00:00:00.0,2017-12-22 00:00:00.0,,,5397,0,,105232.58,68054.73,1001645,0.00,
353,298,291,CD1825,成都龙泉驿,QY13,成都,,,58208.00,25700.00,32508.00,,成都,1498,,西南,,2018-10-27 00:00:00.0,2018-10-26 00:00:00.0,,,5397,0,,,,1001825,0.00,
123,96,96,CF,内蒙古赤峰,QY32,呼和浩特,105613.58,,73957.00,40742.00,33215.00,0,赤峰,1501,,西北,,1900-01-01 00:00:00.0,2014-06-20 00:00:00.0,,,5565,1,,107046.78,73396.45,1000644,0.00,CF
182,153,146,CQBN,重庆巴南,QY20,重庆,97403.34,,73503.00,44450.00,29053.00,0,重庆,1498,,西南,,1900-01-01 00:00:00.0,2015-10-30 00:00:00.0,,,5397,1,,98101.45,73190.34,1001009,0.00,CQBN
115,88,88,CQWZ,重庆万州,QY20,重庆,94112.54,,66857.00,39850.00,27007.00,0,重庆,1498,,西南,,1900-01-01 00:00:00.0,2013-07-05 00:00:00.0,,,5397,1,,94112.54,68730.06,1000563,0.00,CQWZ
293,238,231,CS1605,江苏常熟,SG08,无锡,97384.67,,70034.00,32509.00,37525.00,,常熟,1499,,华东,,1900-01-01 00:00:00.0,2017-07-22 00:00:00.0,,,5490,0,,98267.26,70033.85,1001605,0.00,
76,76,76,CSKF,长沙开福,QY23,长沙,125305.42,,92028.00,57021.00,35007.00,0,长沙,1498,,中南,,1900-01-01 00:00:00.0,2013-09-27 00:00:00.0,,,5395,1,,126833.51,88979.66,1000403,0.00,CSKF
243,214,207,CY1140,辽宁朝阳,QY05,沈阳,88156.71,,63310.00,27938.00,35372.00,0,朝阳,1501,,东北,,1900-01-01 00:00:00.0,2016-11-26 00:00:00.0,,,5502,1,,88156.71,60568.25,1001140,0.00,CY
